community_id,ground_truth,dominant_label,dominant_tactic,tactic_scope,hyde_query,raw_triples,retrieved_ids,retrieval_hit,rag_technique_id,rag_grounded,rag_exact_match,rag_parent_match,rag_tactic,rag_summary,rag_evidence,rag_next_step,rag_score,kg_grounded,faithfulness,base_technique_id,base_exact_match,base_parent_match,base_tactic,base_summary
1,T1110.001,FTP - Patator,['Credential-access'],discovery,"**Adversary Technique Description:**

The adversary employs a network scanning technique to identify potential targets for further exploitation. They utilize an FTP scanner to perform port scans, specifically targeting the FTP service (port 21). This behavior is observed repeatedly, indicating a systematic approach to reconnaissance. The observable indicators include increased network traffic on port 21 and successful connections from the scanner's IP address to target systems' FTP services.",ftp scanner performs port scan ftp port 21 service,"['T1016.001', 'T1049', 'T1518', 'T1518.001', 'T1082', 'T1613', 'T1016', 'T1083', 'T1016.002', 'T1069', 'T1046', 'T1518.002', 'T1652', 'T1135', 'T1018', 'T1120', 'T1071.002', 'T1205', 'T1210', 'T1595.002', 'T1592.004', 'T1595', 'T1205.001', 'T1592.002', 'T1562.013', 'T1571', 'T1205.002', 'T1547.010', 'T1595.001', 'T1055']",False,T1046,True,False,False,Discovery,"An adversary performed a port scan targeting FTP on port 21, indicating an attempt to discover active services and potential vulnerabilities.","Network flow targeting FTP on port 21 with a sub-second connection, very low packet count (1 outbound, 2 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate with low byte volume.","Investigate the source of the port scan, identify the affected systems, and assess the potential impact on the network's security posture.",0.3913353979587555,True,0.4805157780647278,T1110,False,True,Initial Access,Brute Force
2,T1110.001,SSH - Patator,['Credential-access'],credential-access,"**Adversary Technique Description:**

The adversary employs a brute force attack against SSH services, targeting the default port 22. They utilize an SSH client to repeatedly attempt login credentials, potentially using common or leaked password lists. This technique is characterized by a high volume of failed SSH login attempts from a single source IP address within a short period. Observable indicators include increased SSH connection failures, repeated authentication failures for valid user accounts, and a sudden spike in incoming traffic on port 22.",ssh brute force client brute forces credential ssh port 22 service,"['T1110.001', 'T1110.003', 'T1556', 'T1110', 'T1557', 'T1556.003', 'T1110.004', 'T1557.004', 'T1621', 'T1557.003', 'T1110.002', 'T1556.004', 'T1552.004', 'T1606', 'T1003', 'T1212', 'T1555.005', 'T1552', 'T1563.001', 'T1021.004', 'T1021', 'T1563', 'T1554', 'T1550.002', 'T1098.004', 'T1201', 'T1056.001', 'T1586']",True,T1110.001,True,True,True,Credential Access,SSH Brute Force Attack Detected,"Network flow targeting SSH on port 22 with short-lived connections, low packet count (35 outbound, 40 inbound), mixed TCP control flags, rapid inter-arrival timing, and moderate packet and byte rate.","Investigate affected systems for compromised SSH credentials, review system logs for successful authentication attempts, and consider implementing account lockout policies to prevent further brute for",0.5817355513572693,True,0.3956393301486969,T1110,False,True,Execution,Brute Force
12,T1203,Infiltration,['Execution'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanner to systematically probe target systems for open and potentially vulnerable services. They focus on both well-known service ports (e.g., 21, 25, 80) and unknown, high-range ports (e.g., 53884, 668), suggesting reconnaissance for uncommon or custom services. Additionally, the adversary utilizes a flood source to cause denial of service on specific ports (e.g., 444), indicating an attempt to disrupt network availability or force error conditions that could be exploited.",port scanner performs port scan unknown port 53884. flood source causes denial of service unknown port 444,"['T1016.001', 'T1049', 'T1518', 'T1613', 'T1046', 'T1518.001', 'T1082', 'T1526', 'T1007', 'T1069', 'T1518.002', 'T1614', 'T1018', 'T1016.002', 'T1652', 'T1120', 'T1016', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1499', 'T1205.002', 'T1210', 'T1562.004', 'T1562.013', 'T1584', 'T1567', 'T1568.003', 'T1499.002', 'T1498', 'T1498.001', 'T1499.003', 'T1595.002', 'T1547.010', 'T1595', 'T1595.001', 'T1055']",False,T1499,True,False,False,Impact,Observed network behavior indicative of a Denial of Service (DoS) attack targeting an unknown port (53884) with very high packet rate and sub-10ms inter-arrival timing.,"Network flow targeting unknown-port-53884 on port 53884. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate.",Investigate the source of the traffic and block if necessary. Monitor for further DoS attempts and potential follow-up attacks.,0.5868592262268066,True,0.5491166114807129,T886,False,False,Execution,Port Knocking
13,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanning technique to enumerate open services and potential vulnerabilities on target systems within the network. They use a port scanner tool that probes multiple unknown ports, including service-specific ports (e.g., 21/FTP, 25/SMTP) and an unusual port (668), suggesting a targeted or exploratory approach. This technique allows the adversary to gather information about accessible services, which could facilitate further attacks such as exploiting vulnerable services or gaining unauthorized access. Observable indicators include high volumes of SYN/ACK packets destined for various ports on target IP addresses, with a focus on both common service ports and less frequent, unknown ports.",port scanner performs port scan multiple unknown ports,"['T1016.001', 'T1049', 'T1046', 'T1082', 'T1518', 'T1518.001', 'T1016', 'T1010', 'T1613', 'T1007', 'T1120', 'T1652', 'T1016.002', 'T1018', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1210', 'T1562.004', 'T1499', 'T1071', 'T1595.002', 'T1595', 'T1547.010', 'T1568.003', 'T1595.001', 'T1055']",True,T1046,True,True,True,Discovery,"An unknown entity performed a port scan targeting an unknown port (59000) on port 59000, indicating potential reconnaissance activity.","Network flow targeting unknown-port-59000 on port 59000 with sub-second connection duration, very low packet count (4 outbound, 3 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, and moderate packet rate.","Investigate the source of the port scan, identify the purpose behind it, and monitor for any follow-up activities or additional indicators of compromise.",0.414558082818985,True,0.4765353202819824,T1046,True,True,Discovery,Port Scanning
15,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanner to systematically enumerate open ports on target systems, demonstrating reconnaissance behavior. They scan both well-known service ports (e.g., 22, 80, 443) and unknown ports (e.g., 668), indicating a broad and thorough approach to identify potential vulnerabilities or misconfigurations. Observable indicators include a high volume of TCP SYN packets directed at various port numbers on target IP addresses, with no corresponding established connections.",port scanner performs port scan multiple service ports,"['T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1046', 'T1613', 'T1010', 'T1016', 'T1082', 'T1057', 'T1007', 'T1120', 'T1018', 'T1652', 'T1016.002', 'T1526', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1562.004', 'T1210', 'T1595.002', 'T1071', 'T1547.010', 'T1568.003', 'T1595', 'T1047', 'T1595.001', 'T1055']",True,T1046,True,True,True,Discovery,"An unknown entity performed a port scan on our network, targeting port 4624 with a sub-second connection and very low packet count. The scan exhibited mixed TCP control flags and a very high packet rate, suggesting a potential reconnaissance attempt.","Network flow targeting unknown-port-4624 on port 4624 with sub-second connection, very low packet count (2 outbound, 0 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate.","Investigate the source of the port scan, identify affected systems, and review logs for any further suspicious activities. Consider implementing additional network monitoring and access controls to pr",0.4592917561531067,True,0.5412963032722473,T1046,True,True,Discovery,Port Scanning
17,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanner to systematically probe target systems for open and potentially vulnerable services. They focus on both unknown (e.g., 9207, 4443, 9220) and well-known service ports (e.g., 668), indicating a broad reconnaissance effort. Recurring scans suggest persistent interest in specific targets or port ranges. Observable indicators include repeated SYN/ACK packets directed at multiple, often non-standard ports, with varying response times based on target availability and firewall rules.",port scanner performs port scan unknown ports 9207 4443 9220,"['T1016.001', 'T1049', 'T1518', 'T1082', 'T1518.001', 'T1046', 'T1007', 'T1016', 'T1613', 'T1010', 'T1652', 'T1120', 'T1018', 'T1069.001', 'T1016.002', 'T1518.002', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1210', 'T1595.002', 'T1562.004', 'T1590.006', 'T1195.003', 'T1547.010', 'T1595.001', 'T1568.003', 'T1595', 'T1055']",True,T1046,True,True,True,Discovery,"An unknown entity performed a port scan on our network, targeting ports 9207, 4443, and 9220. This behavior suggests an attempt to identify active services and potential vulnerabilities.","Network flow targeting unknown-port-9207 on port 9207 with sub-second connection, very low packet count (1 outbound, 1 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate.","Investigate the source of the port scan, identify any affected systems, and assess potential compromise. Implement additional network monitoring and consider enhancing perimeter security.",0.4681313633918762,True,0.5848038792610168,T1046,True,True,Discovery,Port Scanning
21,T1071.001,Bot,['Command-and-control'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanning technique to enumerate open services and potential vulnerabilities on target systems within the network. They use a port scanner tool that probes multiple unknown ports, including service-specific ports (e.g., 21/FTP, 25/SMTP) and an unusual port (668), suggesting a targeted or exploratory approach. This technique allows the adversary to gather information about accessible services, which could facilitate further attacks such as exploiting vulnerable services or gaining unauthorized access. Observable indicators include high volumes of SYN/ACK packets destined for various ports on target IP addresses, with a focus on both common service ports and less frequent, unknown ports.",port scanner performs port scan multiple unknown ports,"['T1016.001', 'T1049', 'T1046', 'T1082', 'T1518', 'T1518.001', 'T1016', 'T1010', 'T1613', 'T1007', 'T1120', 'T1652', 'T1016.002', 'T1018', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1210', 'T1562.004', 'T1499', 'T1071', 'T1595.002', 'T1595', 'T1547.010', 'T1568.003', 'T1595.001', 'T1055']",False,T1046,True,False,False,Discovery,"An unknown entity performed a port scan targeting multiple unknown ports, including port 53430, using a sub-second connection with very low packet count and mixed TCP control flags. The scan was characterized by sub-10ms inter-arrival timing and a very high packet rate.","Network flow targeting unknown-port-53430 on port 53430. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate.","Investigate the source of the port scan, identify the purpose behind it, and assess potential compromise of systems on targeted ports.",0.414558082818985,True,0.48907673358917236,T1046,False,False,Discovery,Port Scanning
22,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a reconnaissance tactic, specifically a port scan, targeting an unknown service running on an unusual port (3546). This behavior is recurring and indicative of the attacker's attempt to identify vulnerable or misconfigured systems within the network. The use of an unknown port scanner suggests that the adversary is employing custom or less common tools to avoid detection. Observable indicators include network traffic directed towards port 3546 from an unknown source IP address, with a high frequency and regular interval, characteristic of a persistent scanning activity.",unknown port scanner performs port scan unknown port 3546 service,"['T1016.001', 'T1049', 'T1518', 'T1518.001', 'T1046', 'T1082', 'T1012', 'T1069', 'T1007', 'T1018', 'T1652', 'T1120', 'T1016.002', 'T1016', 'T1083', 'T1205', 'T1205.001', 'T1205.002', 'T1571', 'T1562.004', 'T1210', 'T1036', 'T1665', 'T1195.003', 'T1547.010', 'T1595.002', 'T1568.003', 'T1595.001', 'T1595', 'T1055']",True,T1046,True,True,True,Discovery,"An unknown port scanner was observed performing a port scan on an unknown service running on port 3546. The scan exhibited characteristics of a quick, low-interaction scan, suggesting potential reconnaissance activity.","Network flow targeting unknown-port-3546 on port 3546. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate",Investigate the unknown service running on port 3546 and determine if it is legitimate or malicious. Review system logs for any related activities or indicators of compromise. Consider implementing ad,0.3852982223033905,True,0.4392218589782715,T1046,True,True,Discovery,Port Scanning
25,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a network scanning technique to identify and enumerate Microsoft SQL Server (MSSQL) instances. They target the default MSSQL service port, 1433, using a specialized scanner designed for this purpose. Observable indicators include a high volume of SYN packets directed at destination port 1433, with source IP addresses potentially belonging to known malicious or suspicious networks. Recurring graph patterns reveal consistent scanning activity targeting the same MSSQL service port over time.",mssql scanner performs port scan mssql port 1433 service,"['T1049', 'T1016.001', 'T1526', 'T1518.001', 'T1614', 'T1012', 'T1046', 'T1057', 'T1518', 'T1007', 'T1018', 'T1120', 'T1016', 'T1652', 'T1082', 'T1083', 'T1210', 'T1499', 'T1205', 'T1562.004', 'T1211', 'T1071', 'T1547.010', 'T1505.001', 'T1218.008', 'T1595.002', 'T1505.005', 'T1127.001', 'T1571', 'T1218.013', 'T1205.001', 'T1595', 'T1205.002', 'T1595.001', 'T1055']",True,T1046,True,True,True,Discovery,"An adversary performed a port scan targeting Microsoft SQL Server (MSSQL) on port 1433, indicating an attempt to discover network connections and services.","Network flow targeting MSSQL on port 1433 with sub-second connection, very low packet count (1 outbound, 1 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate with low bytes.","Investigate the source of the port scan, identify the affected systems, and implement additional monitoring and controls to prevent further unauthorized access.",0.44612324237823486,True,0.4575638771057129,T1046,True,True,Discovery,System Information Discovery
26,T1046,PortScan,['Discovery'],discovery,"**Adversary Technique Description:**

The adversary employs a port scanner to systematically probe target systems for open and potentially vulnerable services. They focus on both unknown (e.g., 2959, 4321, 668) and well-known service ports (e.g., 43), suggesting a broad reconnaissance effort. Observed graph patterns include repeated scans of multiple unknown ports and specific service ports, indicating persistent and targeted activity.",port scanner performs port scan unknown ports 2959 4321 43,"['T1016.001', 'T1049', 'T1518', 'T1046', 'T1518.001', 'T1007', 'T1082', 'T1613', 'T1016', 'T1526', 'T1652', 'T1018', 'T1120', 'T1069.001', 'T1016.002', 'T1083', 'T1205', 'T1205.001', 'T1210', 'T1571', 'T1595.002', 'T1590.006', 'T1592.004', 'T1205.002', 'T1547.010', 'T1568.003', 'T1595.001', 'T1595', 'T1055']",True,T1046,True,True,True,Discovery,"An unknown entity performed a port scan on our network, targeting ports 2959, 4321, and 43. The scan exhibited characteristics of a port scanner, with sub-second connections, very low packet count (1 inbound, 1 outbound), mixed TCP control flags, sub-10ms inter-arrival timing, and a very high packet rate.","Network flow targeting unknown-port-2959 on port 2959. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate","Investigate the source of the port scan, identify affected systems, and implement additional network monitoring and controls to prevent further unauthorized access.",0.4886218309402466,True,0.516606330871582,T886,False,False,Discovery,Port Scanning
