community_id,ground_truth,dominant_label,dominant_tactic,tactic_scope,hyde_query,raw_triples,retrieved_ids,retrieval_hit,rag_technique_id,rag_grounded,rag_exact_match,rag_parent_match,rag_tactic,rag_summary,rag_evidence,rag_next_step,rag_score,kg_grounded,faithfulness,base_technique_id,base_exact_match,base_parent_match,base_tactic,base_summary
1,T1110.001,FTP - Patator,['Credential-access'],impact,"The adversary floods the source of network traffic, causing denial-of-service conditions on multiple critical ports: FTP port 21 for file transfer services, HTTPS port 443 for secure web browsing, and NetBIOS name service port 137 for network discovery. These actions target essential resources that are crucial for normal operations within a network environment, leading to disruptions in both data transmission and network communication protocols. Observable indicators include increased traffic volume directed at these specific ports, resulting in high latency or complete unavailability of services on those ports.",flood source causes denial of service ftp port 21 service,"['T1499', 'T1498', 'T1499.001', 'T1499.002', 'T1499.003', 'T1498.001', 'T1498.002', 'T1496.002', 'T1496', 'T1499.004', 'T1496.003', 'T1489', 'T1205', 'T1571', 'T1071.002', 'T1071.001', 'T1562.004', 'T1016.001', 'T1562.013']",False,T1499,True,False,False,Impact,"The observed behaviors indicate a denial of service attack targeting FTP on port 21. The sub-second connection, low packet count, and high packet rate suggest an endpoint denial of service attack. The flood source causing a denial of service on the ftp port 21 service is a clear indication of this attack.","Network flow targeting FTP on port 21, sub-second connection, very low packet count with 1 outbound and 2 inbound packets, mixed TCP control flags, sub-10ms inter-arrival timing, very high packet rate with low byte volume, flood source causing denial of service ftp port 21 service.",Investigate the source of the flood to determine the nature and extent of the denial of service attack. Assess the impact on the affected service and take necessary mitigation actions to restore servi,0.5914742350578308,True,0.5415096282958984,T1194,False,False,Lateral Movement,"This network behavior suggests a technique for lateral movement, possibly involving a flood source causing a denial of service on an FTP port 21 service."
2,T1110.001,SSH - Patator,['Credential-access'],discovery,"The adversary employs an SSH scanner to perform reconnaissance on the target network, specifically targeting the ssh port 22 service. This activity involves scanning for open ports and identifying potential hosts that may be vulnerable or part of a larger network infrastructure. The recurring pattern observed is the systematic scanning behavior directed at the ssh port, indicating a persistent attempt to gather information about the target's security posture and identify accessible systems. Observable indicators include unusual SSH traffic patterns, such as multiple scans targeting the same port over time, and potentially anomalous login attempts or failed authentication events that could suggest an automated reconnaissance effort.",ssh scanner performs reconnaissance ssh port 22 service,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1613', 'T1518', 'T1007', 'T1016', 'T1016.002', 'T1614', 'T1018', 'T1518.002', 'T1120', 'T1057', 'T1083', 'T1563.001', 'T1205', 'T1590.006', 'T1592.001', 'T1592.004', 'T1205.001', 'T1210', 'T1595.002', 'T1595.001', 'T1595', 'T1596.005', 'T1552.004', 'T1021.004', 'T1590.004', 'T1591.001', 'T1590', 'T1591.004']",False,T1046,True,False,False,Discovery,"The observed behaviors indicate a network service discovery attempt targeting SSH on port 22. The short-lived connection, low packet count, and mixed TCP control flags suggest an adversary performing reconnaissance on the ssh port service.","Network flow targeting SSH on port 22, short-lived connection, low packet count (35 outbound and 40 inbound packets), mixed TCP control flags, rapid inter-arrival timing, moderate packet and byte rate.",Further investigation into the source IP address and the potential target hosts to confirm the nature of the reconnaissance attempt.,0.566440999507904,True,0.5782588720321655,T1103,False,False,Discovery,ssh scanner performs reconnaissance ssh port 22 service
12,T1203,Infiltration,['Execution'],discovery,"The adversary employs a port scanning technique to identify open services on target hosts. The scanner initiates multiple scans targeting various service ports, including DNS port 53 and an unknown port 444. These activities are indicative of reconnaissance aimed at discovering potential vulnerabilities or active services that could be exploited for further attacks. Observable indicators include the repeated execution of port scan commands against a variety of target hosts, with particular focus on DNS and an unspecified service port.",scanner host performs port scan unknown port 444 service,"['T1016.001', 'T1046', 'T1049', 'T1518.001', 'T1518', 'T1010', 'T1018', 'T1007', 'T1613', 'T1012', 'T1652', 'T1518.002', 'T1614', 'T1016.002', 'T1120', 'T1016', 'T1082', 'T1083', 'T1205', 'T1595.002', 'T1595', 'T1571', 'T1205.001', 'T1071.004', 'T1596.005', 'T1590.006', 'T1547.010', 'T1595.001', 'T1568.003', 'T1205.002', 'T1055']",False,T1046,True,False,False,Discovery,The observed network flow targeting unknown-port-53884 on port 53884 with sub-second connection and very low packet count suggests an adversary performing Internet connection discovery. The timing pattern and traffic rate indicate automated scanning behavior.,"Network flow targeting unknown-port-53884 on port 53884. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate. Extracted relationships: scanner host performs port scan unknown port 444 service.",Further investigation into the source of the unknown port 444 service and the scanning behavior to determine if it is part of a known attack pattern or if it is a benign activity.,0.5741113424301147,True,0.5772071480751038,T1103,False,False,Discovery,The network flow targeting unknown-port-53884 on port 53884 with sub-second connection and very high packet rate suggests a port scan attempt.
13,T1046,PortScan,['Discovery'],discovery,"The adversary employs a port scanning technique to identify open services on multiple ports. This activity is observed in the scanner host performing scans on various service ports, including DNS (port 53) and an unknown port (444). These recurring patterns indicate that the adversary is systematically probing for vulnerabilities across different network services, which can lead to unauthorized access or data exfiltration if any of these services are compromised. Observable indicators include a scanner host initiating multiple TCP connections to various service ports over time, with DNS and an unknown port being frequent targets in the observed scans.",scanner host performs port scan multiple service ports,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1613', 'T1007', 'T1010', 'T1012', 'T1018', 'T1652', 'T1120', 'T1526', 'T1016', 'T1082', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1595.002', 'T1071.004', 'T1584', 'T1595', 'T1595.001', 'T1547.010', 'T1568.003', 'T1055']",True,T1046,True,True,True,Discovery,"The observed network flow targeting unknown-port-59000 on port 59000 with sub-second connection and very low packet count suggests a network service discovery attempt. The scanner host performed port scans on multiple service ports, indicating an adversary's attempt to discover services running on remote hosts.","Network flow targeting unknown-port-59000, sub-second connection, very low packet count (4 outbound and 3 inbound), mixed TCP control flags, sub-10ms inter-arrival timing, moderate packet rate, scanner host performed port scans on multiple service ports.",Further investigation into the scanner host's activities and the services being targeted to determine if they are vulnerable to exploitation.,0.5345242023468018,True,0.45004475116729736,T1103,False,False,Discovery,The network flow targeting unknown-port-59000 on port 59000 with sub-second connection and low packet count suggests a scanning activity.
15,T1046,PortScan,['Discovery'],discovery,"The adversary employs a port scanning technique to identify open services on multiple ports. This activity is observed in the scanner host performing scans on various service ports, including DNS (port 53) and an unknown port (444). These recurring patterns indicate that the adversary is systematically probing for vulnerabilities across different network services, which can lead to unauthorized access or data exfiltration if any of these services are compromised. Observable indicators include a scanner host initiating multiple TCP connections to various service ports over time, with DNS and an unknown port being frequent targets in the observed scans.",scanner host performs port scan multiple service ports,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1613', 'T1007', 'T1010', 'T1012', 'T1018', 'T1652', 'T1120', 'T1526', 'T1016', 'T1082', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1595.002', 'T1071.004', 'T1584', 'T1595', 'T1595.001', 'T1547.010', 'T1568.003', 'T1055']",True,T1046,True,True,True,Discovery,"The observed network flow targeting unknown-port-4624 on port 4624 with sub-second connection and very low packet count indicates a potential network service discovery attempt. The traffic exchange shows very high packet rate and mixed TCP control flags, suggesting a scanning activity. The extracted relationships indicate a scanner host performing port scan multiple service ports.","Sub-second connection, very low packet count (2 outbound, 0 inbound), mixed TCP control flags, very high packet rate, sub-10ms inter-arrival timing, and scanner host performing port scan multiple service ports.",Further investigation into the scanner host and the services being targeted to determine if there is a vulnerability or misconfiguration that could be exploited.,0.5345242023468018,True,0.43971163034439087,T1103,False,False,Discovery,The network flow targeting unknown-port-4624 on port 4624 with sub-second connection and very high packet rate suggests a port scan performed by a scanner host.
17,T1046,PortScan,['Discovery'],discovery,"The adversary employs a port scanning technique to identify open services on multiple ports. This activity is observed in the scanner host performing scans on various service ports, including DNS (port 53) and an unknown port (444). These recurring patterns indicate that the adversary is systematically probing for vulnerabilities across different network services, which can lead to unauthorized access or data exfiltration if any of these services are compromised. Observable indicators include a scanner host initiating multiple TCP connections to various service ports over time, with DNS and an unknown port being frequent targets in the observed scans.",scanner host performs port scan multiple service ports,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1613', 'T1007', 'T1010', 'T1012', 'T1018', 'T1652', 'T1120', 'T1526', 'T1016', 'T1082', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1595.002', 'T1071.004', 'T1584', 'T1595', 'T1595.001', 'T1547.010', 'T1568.003', 'T1055']",True,T1046,True,True,True,Discovery,"The observed network flow targeting unknown-port-9207 on port 9207 with sub-second connection and very low packet count indicates a potential network service discovery attempt. The traffic exchange shows a very high packet rate, mixed TCP control flags, and sub-10ms inter-arrival timing, which aligns with the description of T1046: Network Service Discovery. The scanner host also performs port scan","Network flow targeting unknown-port-9207 on port 9207, sub-second connection, very low packet count, very high packet rate, mixed TCP control flags, sub-10ms inter-arrival timing, and port scans on multiple service ports.","Further investigation into the source and destination of the traffic, as well as the scanning behavior, to determine the nature of the service discovery attempt and to identify any potential vulnerabi",0.5345242023468018,True,0.4253289997577667,T1103,False,False,Discovery,"The network flow targeting unknown-port-9207 on port 9207 with sub-second connection, very low packet count, and mixed TCP control flags suggests a port scan performed by a scanner host."
21,T1071.001,Bot,['Command-and-control'],discovery,"The adversary employs a port scanning technique to identify open services on multiple ports. This activity is observed in the scanner host performing scans on various service ports, including DNS (port 53) and an unknown port (444). These recurring patterns indicate that the adversary is systematically probing for vulnerabilities across different network services, which can lead to unauthorized access or data exfiltration if any of these services are compromised. Observable indicators include a scanner host initiating multiple TCP connections to various service ports over time, with DNS and an unknown port being frequent targets in the observed scans.",scanner host performs port scan multiple service ports,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1613', 'T1007', 'T1010', 'T1012', 'T1018', 'T1652', 'T1120', 'T1526', 'T1016', 'T1082', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1595.002', 'T1071.004', 'T1584', 'T1595', 'T1595.001', 'T1547.010', 'T1568.003', 'T1055']",False,T1046,True,False,False,Discovery,The observed network flow targeting unknown-port-53430 on port 53430 with sub-second connection and very low packet count suggests a network service discovery attempt. The scanner host performed port scan multiple service ports.,"Network flow targeting unknown-port-53430 on port 53430. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate. The scanner host performed port scan multiple service ports.",Investigate the source and destination of the network traffic for further analysis. Review the network logs and system logs for additional context. Consider implementing network segmentation or firewa,0.5345242023468018,True,0.41645321249961853,T1103,False,False,Discovery,The network flow targeting unknown-port-53430 on port 53430 with sub-second connection and very high packet rate suggests a port scan performed by a scanner host.
22,T1046,PortScan,['Discovery'],impact,"The adversary initiates a flood attack on unknown port 3546, overwhelming the service with traffic to cause denial of service. This technique targets network resources by saturating them with excessive traffic, potentially causing unavailability or degradation of services at that port. Indicators include sudden spikes in traffic volume directed towards unknown port 3546, leading to service unresponsiveness or failure.",unknown port 3546 flood source causes denial of service unknown port 3546 service,"['T1498', 'T1499.003', 'T1499', 'T1499.002', 'T1499.001', 'T1498.001', 'T1498.002', 'T1496.002', 'T1496', 'T1499.004', 'T1496.003', 'T1489', 'T1205', 'T1016.001']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-3546 on port 3546 exhibits characteristics of a Network Denial of Service (DoS) attack. The sub-second connection, very low packet count, and high packet rate suggest a denial of service attack on the unknown port 3546 service, causing a denial of service to the service.","Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate. Extracted relationships: unknown port 3546 flood source causes denial of service unknown port 3546 service.",Further investigation into the source of the flood and the unknown port 3546 service to determine the nature and intent of the attack.,0.6275472640991211,True,0.6347765922546387,T1194,False,False,Lateral Movement,This network behavior exhibits characteristics of a flood attack causing a denial of service.
25,T1046,PortScan,['Discovery'],impact,"The adversary initiates a flood attack on the MSSQL port 1433, overwhelming the target system with client connections. This sustained assault targets the SQL Server service, leading to denial of service conditions for legitimate users attempting to connect to the MSSQL database. Indicators include an abnormally high number of failed login attempts or connection requests from a single IP address targeting MSSQL port 1433, and potentially observable patterns in network traffic showing a significant spike followed by a gradual decrease as the attack subsides.",mssql flood client causes denial of service mssql port 1433,"['T1499', 'T1499.002', 'T1498', 'T1499.003', 'T1498.002', 'T1499.001', 'T1498.001', 'T1499.004', 'T1496.004', 'T1496.002', 'T1489', 'T1496.003', 'T1110.003', 'T1562.004', 'T1205', 'T1218.008']",False,T1499,True,False,False,Impact,"The observed behaviors indicate a Denial of Service attack targeting MSSQL on port 1433. The attack is characterized by sub-second connection times, very low packet count, and high packet rate, which aligns with the Endpoint Denial of Service tactic. The attack causes a denial of service to the MSSQL service.","Network flow targeting MSSQL on port 1433. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate with low byte rate. The extracted relationships indicate that the MSSQL flood client causes a denial of service ",Investigate the source of the traffic to identify the attacker's IP address and potential motives. Implement network segmentation and rate limiting to prevent future attacks. Monitor for any further s,0.5996249318122864,True,0.5576633214950562,T1194,False,False,Denial of Service,"This network behavior exhibits characteristics of a flood attack targeting MSSQL on port 1433, causing a denial of service."
26,T1046,PortScan,['Discovery'],discovery,"The adversary employs a port scanning technique to identify open services on multiple ports. This activity is observed in the scanner host performing scans on various service ports, including DNS (port 53) and an unknown port (444). These recurring patterns indicate that the adversary is systematically probing for vulnerabilities across different network services, which can lead to unauthorized access or data exfiltration if any of these services are compromised. Observable indicators include a scanner host initiating multiple TCP connections to various service ports over time, with DNS and an unknown port being frequent targets in the observed scans.",scanner host performs port scan multiple service ports,"['T1046', 'T1016.001', 'T1049', 'T1518.001', 'T1518', 'T1613', 'T1007', 'T1010', 'T1012', 'T1018', 'T1652', 'T1120', 'T1526', 'T1016', 'T1082', 'T1083', 'T1205', 'T1205.001', 'T1571', 'T1205.002', 'T1595.002', 'T1071.004', 'T1584', 'T1595', 'T1595.001', 'T1547.010', 'T1568.003', 'T1055']",True,T1046,True,True,True,Discovery,"The observed network flow targeting unknown-port-2959 on port 2959 with sub-second connection and very low packet count suggests a network service discovery attempt. The scanner host performed port scans on multiple service ports, indicating an adversary's attempt to discover services running on remote hosts.","Network flow targeting unknown-port-2959 on port 2959. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate. The scanner host performed port scans on multiple service ports.",Further investigation into the services being scanned and the potential vulnerabilities associated with these services. Review logs for any unauthorized or suspicious activity related to these service,0.5345242023468018,True,0.4816862940788269,T1103,False,False,Discovery,The network flow targeting unknown-port-2959 on port 2959 with very high packet rate and low byte volume suggests a scanning activity.
