community_id,ground_truth,dominant_label,dominant_tactic,tactic_scope,hyde_query,raw_triples,retrieved_ids,retrieval_hit,rag_technique_id,rag_grounded,rag_exact_match,rag_parent_match,rag_tactic,rag_summary,rag_evidence,rag_next_step,rag_score,kg_grounded,faithfulness,base_technique_id,base_exact_match,base_parent_match,base_tactic,base_summary
1,T1110.001,FTP - Patator,['Credential-access'],impact,"The adversary is conducting a Distributed Denial of Service (DDoS) attack by flooding the FTP port 21 with traffic, causing a denial of service. The attack originates from multiple sources and targets the FTP service on port 21. Indicators include an increase in network traffic to the FTP port and potential disruptions in FTP service availability.",ftp flood source causes denial of service ftp port 21 service,"['T1498', 'T1499.002', 'T1499', 'T1498.001', 'T1499.003', 'T1499.001', 'T1496.002', 'T1498.002', 'T1499.004', 'T1496', 'T1496.003', 'T1489', 'T1562.013', 'T1584.005']",False,T1498,True,False,False,Impact,"The incident involves a network denial of service (DoS) attack targeting FTP service on port 21. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate with low byte volume. The attack exhausts the network bandwidth, causing a denial of service for the FTP service.","Network flow targeting FTP on port 21 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate with low byte volume. The attack causes a denial of service for the FTP service.","Isolate the affected network segment, investigate the source of the attack, and implement measures to prevent future DoS attacks.",0.6557132005691528,True,0.6616715788841248,T1402.001,False,False,Impact,FTP Flood
2,T1110.001,SSH - Patator,['Credential-access'],credential-access,"Adversaries employ a brute force attack to gain unauthorized access to SSH services by systematically attempting multiple username and password combinations. They target the SSH port 22 service on various hosts, leveraging automated tools to increase the rate of attempts. Indicators include repeated failed login attempts from the same IP address or user-agent, unusual traffic spikes at the SSH port, and potential anomalies in network logs such as increased error messages related to authentication failures.",ssh brute force client brute forces credential ssh port 22 service,"['T1110.001', 'T1110.003', 'T1110', 'T1556', 'T1621', 'T1003', 'T1557', 'T1557.004', 'T1110.004', 'T1606', 'T1110.002', 'T1556.004', 'T1552.004', 'T1212', 'T1555.005', 'T1552', 'T1563.001', 'T1021.004', 'T1021', 'T1563', 'T1589.001', 'T1586', 'T1098.004', 'T1550.002', 'T1201', 'T1056.001']",True,T1110.001,True,True,True,Credential-access,"The incident involves a brute force attack targeting SSH on port 22. The attack exhibits characteristics of password guessing, with short-lived connections, low packet count, mixed TCP control flags, rapid inter-arrival timing, and moderate packet and byte rate. The attack is likely an attempt to gain unauthorized access to accounts by systematically guessing passwords.","Network flow targeting SSH on port 22 with 35 outbound and 40 inbound packets, TCP behavior with mixed control flags, rapid inter-arrival timing, and moderate traffic rate. The attack is likely a brute force attempt using a list of common passwords.","Implement and enforce strong password policies, monitor for unusual login attempts, and consider implementing additional security measures such as two-factor authentication.",0.5904681086540222,True,0.5820319652557373,T1133,False,False,Credential Access,Brute force attack on SSH service
12,T1203,Infiltration,['Execution'],command-and-control,"The adversary is using a custom or unknown C2 protocol on port 444 for command and control communications. This involves an unknown client establishing connections to an unknown service on the same port, indicating potential use of a non-standard or homemade C2 infrastructure. Indicators include outbound connections from compromised hosts to external IP addresses on port 444, as well as inbound connections from external sources to the same port on potentially malicious servers.",unknown port 444 client establishes c2 unknown port 444 service,"['T1571', 'T1102', 'T1102.002', 'T1665', 'T1090.001', 'T1071.001', 'T1071', 'T1090.002', 'T1102.003', 'T1572', 'T1568.003', 'T1102.001', 'T1132.001', 'T1132.002', 'T1132', 'T1001', 'T1016.001', 'T1205', 'T1547.010', 'T1588.004', 'T1562.004', 'T1608.003', 'T1205.001', 'T1041', 'T1137.001', 'T1048.002', 'T1048.003']",False,T1071.001,True,False,False,Command-and-control,"The observed network flow targeting unknown-port-53884 on port 53884 indicates a potential use of a non-standard port for command-and-control communications. The sub-second connection, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate are indicative of a C2 channel. The traffic exchange pattern and TCP behavior suggest that the communication i","Network flow targeting unknown-port-53884 on port 53884 with sub-second connection, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The traffic exchange pattern and TCP behavior suggest encrypted or obfuscated communication.","Further investigation is required to confirm the nature of the communication and to identify the C2 server. This may include capturing additional network traffic, analyzing the data for encryption pat",0.589918851852417,True,0.5303080081939697,T1047,False,False,Exfiltration,Data exfiltration using a custom protocol over a non-standard port
13,T1046,PortScan,['Discovery'],discovery,"The adversary is conducting reconnaissance on multiple unknown ports (5903, 5904, and 5906) using a client-server model. Each port is being probed by an unknown client to gather information about the service or system running on it. The recurring graph pattern indicates that this reconnaissance activity is systematic and repeated across these specific ports, suggesting a targeted approach to identify vulnerabilities or potential entry points for further attacks.",unknown port 5906 client performs reconnaissance unknown port 5906 service. unknown port 5904 client performs reconnaissance unknown port 5904 service. unknown port 5903 client performs reconnaissance unknown port 5903 service,"['T1016.001', 'T1046', 'T1049', 'T1538', 'T1016', 'T1518', 'T1518.001', 'T1007', 'T1082', 'T1613', 'T1120', 'T1018', 'T1016.002', 'T1057', 'T1083', 'T1210', 'T1205', 'T1571', 'T1592.004', 'T1205.001', 'T1562.004', 'T1595.002', 'T1590.006', 'T1071', 'T1133', 'T1595', 'T1590.004', 'T1596.005', 'T1592.001', 'T1591.001', 'T1595.001', 'T1590', 'T1591.004']",True,T1046,True,True,True,Discovery,"The observed network flow targeting unknown-port-59000 on port 59000, with sub-second connections and very low packet count, strongly indicates that the system is performing reconnaissance activities. The timing pattern and TCP behavior suggest that the system is likely using techniques such as Ping or GET requests to check for Internet connectivity, which is a common method for adversaries to dis","The network flow targeting unknown-port-59000, with sub-second connections and very low packet count, along with the timing pattern and TCP behavior, are indicative of reconnaissance activities. The observed traffic exchange with 4 outbound and 3 inbound packets, and the mixed TCP control flags, further support this conclusion.","Further investigation is required to determine the specific reconnaissance techniques being used and to identify any potential C2 servers. Network traffic analysis, system logs, and forensic evidence ",0.4972333312034607,True,0.5568857789039612,T1010,False,False,Reconnaissance,"The network activity involves multiple outbound connections to unknown ports, indicating reconnaissance behavior."
15,T1046,PortScan,['Discovery'],impact,"The adversary is conducting a port flood attack, targeting multiple ports on the network. This technique involves sending an overwhelming volume of traffic to these ports from an unknown source, causing a denial of service by saturating the bandwidth and resources of the targeted systems. Indicators include increased network traffic volumes, unusual spikes in packet sizes, and potential disruptions in network connectivity as services become unavailable due to excessive load.",unknown port flood source causes denial of service multiple ports,"['T1498', 'T1499.002', 'T1498.001', 'T1499.003', 'T1499.001', 'T1498.002', 'T1499', 'T1496.002', 'T1496', 'T1499.004', 'T1496.003', 'T1489', 'T1205', 'T1568.003', 'T1205.001']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-4624 on port 4624 indicates a potential Network Denial of Service (DoS) attack. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack is likely causing a denial of service by exhausting network bandwidth, affecting the availability o","Network flow targeting unknown-port-4624 on port 4624 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack is causing a denial of service by exhausting network bandwidth, affecting the availability of targeted resources.","Further investigation is required to identify the source of the attack and to mitigate the impact. This may include isolating the affected network segment, analyzing logs for additional evidence, and ",0.6922796964645386,True,0.6101112961769104,T1408,False,False,Impact,"A network flow targeting an unknown port with a high packet rate and low byte volume, causing a denial of service by overwhelming multiple ports."
17,T1046,PortScan,['Discovery'],impact,"The adversary is conducting a Denial of Service (DoS) attack by targeting multiple unknown ports on the network. The observed traffic on ports 9207, 4443, and 9220 indicates that the attacker is sending malicious requests to these ports in an attempt to disrupt normal service. Recurring patterns show consistent DoS activity across these ports, suggesting a coordinated effort to overwhelm the targeted resources.",unknown port 9207 traffic causes denial of service unknown port 9207. unknown port 4443 traffic causes denial of service unknown port 4443. unknown port 9220 traffic causes denial of service unknown port 9220,"['T1498', 'T1499', 'T1498.001', 'T1499.003', 'T1496.002', 'T1499.002', 'T1498.002', 'T1496', 'T1499.004', 'T1499.001', 'T1495', 'T1489', 'T1205', 'T1205.001', 'T1016.001', 'T1571', 'T1567', 'T1568.003', 'T1562.004', 'T1190']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-9207 on port 9207 indicates a potential Network Denial of Service (DoS) attack. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack causes denial of service on unknown ports 4443 and 9220. The attack is likely conducted to degrade ","Network flow targeting unknown-port-9207 on port 9207 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack causes denial of service on unknown ports 4443 and 9220.",Further investigation is required to identify the source of the attack and to determine the extent of the damage. Immediate steps should be taken to mitigate the impact of the attack and to prevent fu,0.6801704168319702,True,0.5634304881095886,T1499,False,False,Impact,"The network flow targeting unknown-port-9207 on port 9207 is indicative of a Denial of Service (DoS) attack, as it causes a denial of service on the target port."
21,T1071.001,Bot,['Command-and-control'],impact,"The adversary is employing a Distributed Denial of Service (DDoS) attack to disrupt network operations. The attack involves flooding multiple target ports, including unknown ports and specific well-known ports such as 443 for HTTPS. Indicators of this activity include unusual traffic volumes on various port numbers, including 7815, 54879, 6850, 58908, 57214, and 53839.",flood source causes denial of service unknown ports,"['T1498', 'T1499', 'T1499.002', 'T1498.001', 'T1499.003', 'T1498.002', 'T1499.001', 'T1496.002', 'T1496', 'T1499.004', 'T1496.003', 'T1489', 'T1205', 'T1584.005', 'T1567']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-53430 on port 53430 indicates a potential Network Denial of Service (DoS) attack. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack is likely causing a denial of service to the targeted resource.","Network flow targeting unknown-port-53430 on port 53430 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack is causing a denial of service to the targeted resource.","Further investigation is required to confirm the nature of the attack and to determine the extent of the damage. Immediate steps should be taken to mitigate the impact of the attack, including isolati",0.7062841653823853,True,0.5854619741439819,T1408,False,False,Impact,"A network flow targeting an unknown port with high packet rate and low byte volume, causing a denial of service."
22,T1046,PortScan,['Discovery'],impact,"Adversaries are employing a Denial of Service (DoS) attack by flooding the network with traffic. The attack originates from an unknown source and targets various ports, including port 3546, HTTPS port 443, and multiple other high-numbered ports such as 7815, 54879, 6850, 58908, and 57214. Indicators of this activity include increased network traffic volumes, unusual spikes in outbound connections to the specified ports, and potential disruptions in service availability on targeted servers.",flood source causes denial of service unknown port 3546,"['T1498', 'T1499', 'T1499.002', 'T1498.001', 'T1499.003', 'T1498.002', 'T1496.002', 'T1499.001', 'T1499.004', 'T1496', 'T1496.003', 'T1489', 'T1205', 'T1016.001', 'T1568.003']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-3546 on port 3546 indicates a potential Network Denial of Service (DoS) attack. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate, which are typical of DoS attacks. The attack is likely caused by a flood source exhausting the network bandwid","Network flow targeting unknown-port-3546 on port 3546 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The attack is likely caused by a flood source exhausting the network bandwidth.","Further investigation is required to confirm the nature of the attack and to identify the source of the flood. This may include examining network logs, conducting a deeper analysis of the traffic, and",0.7868455648422241,True,0.646113932132721,T1408,False,False,Impact,A flood attack targeting an unknown port can cause a denial of service.
25,T1046,PortScan,['Discovery'],impact,"Adversaries employ a flood attack to cause denial of service (DoS) on various network resources. The attack originates from a single source, targeting multiple ports including MSSQL (1433), HTTPS (443), and several unknown ports such as 7815, 54879, 6850, 58908, 57214, and 53839. Indicators of this activity include increased network traffic from the source IP to these destinations, followed by a spike in packet loss or latency on the targeted ports.",flood source causes denial of service mssql port 1433 service,"['T1498', 'T1499', 'T1499.002', 'T1499.003', 'T1498.001', 'T1498.002', 'T1499.001', 'T1496.002', 'T1496', 'T1499.004', 'T1496.003', 'T1489', 'T1205', 'T1110.003', 'T1562.004']",False,T1498,True,False,False,Impact,"The incident involves a network denial of service (DoS) attack targeting the MSSQL service on port 1433. The attack exhibits characteristics of a flood attack, causing a denial of service by exhausting the network bandwidth. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and a very high packet rate with low byte","Network flow targeting MSSQL on port 1433. Connection profile: sub-second connection. Traffic exchange: very low packet count, with 1 outbound and 1 inbound packets. TCP behavior: mixed TCP control flags. Timing pattern: sub-10ms inter-arrival timing. Traffic rate: very high packet rate with low byte count. Flood source causes denial of service mssql port 1433 service.","Isolate the affected network segment, identify the source of the attack, and implement measures to prevent future attacks. Monitor the network for any signs of further malicious activity.",0.7308351397514343,True,0.6894656419754028,T1408,False,False,Impact,A network flood attack targeting MSSQL on port 1433
26,T1046,PortScan,['Discovery'],impact,"The adversary is employing a Denial of Service (DoS) attack by flooding the network with traffic. The source of the flood targets various unknown ports, including 2959, 4321, 43, 7815, 54879, 6850, 58908, 57214, and 53839. Additionally, the attack includes targeting port 443 on HTTPS servers. Indicators of this activity include increased network traffic volumes to these ports and potential disruptions in service availability.",flood source causes denial of service unknown ports 2959 4321 43,"['T1498', 'T1499', 'T1499.002', 'T1498.001', 'T1499.003', 'T1498.002', 'T1499.001', 'T1496.002', 'T1499.004', 'T1496', 'T1496.003', 'T1489', 'T1205', 'T1584.005', 'T1568.003', 'T1016.001']",False,T1498,True,False,False,Impact,"The observed network flow targeting unknown-port-2959 on port 2959 indicates a potential Network Denial of Service (DoS) attack. The attack is characterized by sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The flood source is causing denial of service on unknown ports 2959, 4321, and 43.","Network flow targeting unknown-port-2959 on port 2959 with sub-second connections, very low packet count, mixed TCP control flags, sub-10ms inter-arrival timing, and very high packet rate. The flood source is causing denial of service on unknown ports 2959, 4321, and 43.","Further investigation is required to confirm the nature of the attack and to determine the source of the traffic. This may include examining network logs, conducting a deeper analysis of the traffic, ",0.7510440945625305,True,0.6840454936027527,T1408,False,False,Impact,"A network flood attack targeting unknown ports 2959, 4321, and 43."
